ISO,Country,Data source,Sector,Gas,Unit,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
WORLD,World,Climate Watch,Total including LUCF,All GHG,MtCO₂e,50809.05,50356.43,48271.97,50603.57,50226.78,49115.57,48391.19,47803.99,47914.39,47264.31,46642.9,46150.17,45999.53,44176.85,44256.51,44004.27,43239.65,41765.09,40808.89,38959.72,37961.96,36979.99,36913.53,36237.04,36252.91,36750.4,35360.41,34975.22,34164.05,33902.13,33716.5,33767.18,33589.16
CHN,China,Climate Watch,Total including LUCF,All GHG,MtCO₂e,12851.84,12852.14,12263.69,12109.18,11868.7,11376.55,11135.02,11085.85,11237.61,11175.26,10693.51,10408.9,9916.32,9095.23,8533.37,8289.28,7701.68,7038.18,6269.19,5512.24,4849.11,4557.76,4362.72,4195.59,4262.67,4154.19,4164.03,4148.03,3751.23,3581.08,3338.53,3196.9,3049.87
USA,United States,Climate Watch,Total including LUCF,All GHG,MtCO₂e,5670.87,5591.52,5305.85,5851.35,5972.88,5755.15,5804.37,5735.74,5845.56,5795.2,5650.45,5861.49,6078.96,5807.83,6225.53,6408.93,6305.71,6395.62,6375.2,6292.14,6224.85,6378.39,6413.36,6251.79,6252.24,6206.91,5947.73,5777.03,5709.34,5615.49,5506.44,5424.7,5472.89
IND,India,Climate Watch,Total including LUCF,All GHG,MtCO₂e,3805.03,3584.74,3326.2,3507.03,3506.66,3367.94,3247.88,3179,3134.57,2947.22,2884.2,2729.53,2680.84,2564.09,2450.97,2335.8,2188.97,2090.59,2019.2,1929.69,1885.83,1867.02,1620.92,1580.92,1499.21,1470.03,1410.07,1361.15,1293.11,1244.03,1208.14,1181.45,1126.56
EUU,European Union (27),Climate Watch,Total including LUCF,All GHG,MtCO₂e,3091.73,3163.69,2991.23,3268.76,3415.33,3495.29,3475.28,3129.91,3076.61,3226.03,3310.47,3372.68,3744.99,3665.25,3933.46,4026.61,4065.96,4067.05,4093.77,4095.91,4006.55,4023.71,4023.22,4023.54,4103.19,4145.7,4224.2,4118.29,4065.89,4078.23,4156.92,4299.63,4369.28
RUS,Russia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1886.05,1939.93,1759.19,1844.3,1840.91,1746.26,1697.9,1572.12,1596.32,1603.53,1647.28,1656.02,1487.68,1405.04,1538.59,1538.64,1528.99,1494.6,1469.16,1470.07,1396.64,1393.93,1781.41,1722.02,1693.84,1686.85,1832.29,1876.57,1952.47,2186.5,2382.89,2550.02,2618.14
BRA,Brazil,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1597.22,1598.81,1537.1,1533.43,1509.63,1550.01,1524.43,1437.66,1450.3,1410.09,1384.67,1339.37,2178.84,2069.71,2095.86,2095.14,2055.61,2066.93,2048.86,1999.09,1982.84,1942.16,1847.49,1845.11,1833.46,1796.6,1764.33,1761.52,1734.63,1717.63,1707.24,1696.97,1675.44
IDN,Indonesia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1543.17,1449.39,1449.43,1893.29,1617.58,1364.58,1363.67,2009.98,1966.06,1586.04,1643.27,1624.03,1068.54,1437.32,1030.94,1048.76,1625.05,1195.06,1479.12,1124.38,1471.27,974.7,1147.86,1223.3,1336.88,2128.37,1129.81,1282.12,1244.87,1221.44,1202.76,1178.43,1156.89
JPN,Japan,Climate Watch,Total including LUCF,All GHG,MtCO₂e,1068.05,1097.01,1079.76,1135.89,1171.48,1210.55,1222.75,1216.99,1254.19,1301.26,1285.84,1242.66,1136.3,1079.01,1138.46,1208.74,1175.11,1195.32,1188.72,1203.16,1197.54,1171.37,1218.28,1207.89,1181.9,1233.65,1248.74,1235.73,1214.57,1154.15,1158.86,1144.91,1127.24
IRN,Iran,Climate Watch,Total including LUCF,All GHG,MtCO₂e,990.34,979.72,909.92,892.61,862.97,871.88,841.62,803.47,806.12,782.98,762.88,766.39,712.28,708.53,688.06,682.13,650.75,611.06,571.93,536.32,499.51,487.78,512.14,483.49,449.35,447.52,430.26,414.74,405.31,366.44,358.63,336.46,308.48
SAU,Saudi Arabia,Climate Watch,Total including LUCF,All GHG,MtCO₂e,793.61,747.26,725.04,730.06,732.36,749.91,760.73,759.07,723.51,677.23,658.81,621.12,588.04,540.84,525.45,483.43,460.49,435.34,411.72,391.18,366.64,345.6,338.23,322.93,320.03,305.22,300.42,286.24,287.72,289.23,292.72,275.5,241.89
