"","country","year","Value","World_Value","Ratio","iso2c","iso3c","status","lastupdated","GDP","Urban_pop_growth","Renewable_share","Population","region","capital","longitude","latitude","income","lending","GDP_log","Population_mil","year_c"
"1","Afghanistan",2000,12.29,36913.53,0.000332940252530712,"AF","AFG","","2026-04-08",3521418059.92345,2.12085038492534,45,20130327,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",21.9821296033637,2.0130327,0
"2","Afghanistan",2001,12.96,36979.99,0.000350459802720336,"AF","AFG","","2026-04-08",2813571753.87253,1.74346718707473,45.6,20284307,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",21.7577205999325,2.0284307,1
"3","Afghanistan",2002,15.81,37961.96,0.000416469539507444,"AF","AFG","","2026-04-08",3825701438.99963,6.31359641742295,37.8,21378117,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",22.0650076701573,2.1378117,2
"4","Afghanistan",2003,16.59,38959.72,0.000425824415575882,"AF","AFG","","2026-04-08",4520946818.54581,7.2936567313355,36.7,22733049,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",22.2319872819837,2.2733049,3
"5","Afghanistan",2004,16.21,40808.89,0.000397217371018913,"AF","AFG","","2026-04-08",5224896718.67782,4.81718391804813,44.2,23560654,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",22.3767008678417,2.3560654,4
"6","Afghanistan",2005,17.45,41765.09,0.000417813058705249,"AF","AFG","","2026-04-08",6203256538.70967,5.08707018829666,33.9,24404567,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",22.5483402392819,2.4404567,5
"7","Afghanistan",2006,17.9,43239.65,0.000413971898477439,"AF","AFG","","2026-04-08",6971758282.29351,6.12480680891873,31.9,25424094,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",22.6651332942231,2.5424094,6
"8","Afghanistan",2007,18.63,44004.27,0.000423368004968609,"AF","AFG","","2026-04-08",9747886187.39393,4.25238138079512,28.8,25909852,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",23.0003162971584,2.5909852,7
"9","Afghanistan",2008,21.61,44256.51,0.000488289745395649,"AF","AFG","","2026-04-08",10109297047.5432,4.74447801790221,21.2,26482622,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",23.0367213371503,2.6482622,8
"10","Afghanistan",2009,24.35,44176.85,0.000551193668176885,"AF","AFG","","2026-04-08",12416152732.0567,6.2831311002891,16.5,27466101,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",23.2422641015404,2.7466101,9
"11","Afghanistan",2010,28.61,45999.53,0.000621962876577217,"AF","AFG","","2026-04-08",15856668555.8336,5.5420431342597,15.2,28284089,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",23.4868559778627,2.8284089,10
"12","Afghanistan",2011,31.86,46150.17,0.000690354986774697,"AF","AFG","","2026-04-08",17805098206.3141,6.17194562448142,12.6,29347708,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",23.6027506693203,2.9347708,11
"13","Afghanistan",2012,30.09,46642.9,0.000645114261763312,"AF","AFG","","2026-04-08",19907329777.5872,6.31323146961438,15.4,30560034,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",23.7143538313918,3.0560034,12
"14","Afghanistan",2013,29.3,47264.31,0.000619918073489278,"AF","AFG","","2026-04-08",20146416757.5987,5.3875947897599,16.9,31622704,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",23.7262922811187,3.1622704,13
"15","Afghanistan",2014,29.58,47914.39,0.00061735107135873,"AF","AFG","","2026-04-08",20497128555.6972,5.22969224047253,19.1,32792523,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",23.7435506428262,3.2792523,14
